date,nav,acc_nav,daily_growth_pct,source
2022-11-09,1.065,3.626,-0.37,eastmoney
2022-11-10,1.055,3.616,-0.94,eastmoney
2022-11-11,1.059,3.62,0.38,eastmoney
2022-11-14,1.047,3.608,-1.13,eastmoney
2022-11-15,1.057,3.618,0.96,eastmoney
2022-11-16,1.048,3.609,-0.85,eastmoney
2022-11-17,1.047,3.608,-0.1,eastmoney
2022-11-18,1.039,3.6,-0.76,eastmoney
2022-11-21,1.047,3.608,0.77,eastmoney
2022-11-22,1.036,3.597,-1.05,eastmoney
2022-11-23,1.036,3.597,0.0,eastmoney
2022-11-24,1.034,3.595,-0.19,eastmoney
2022-11-25,1.021,3.582,-1.26,eastmoney
2022-11-28,1.022,3.583,0.1,eastmoney
2022-11-29,1.022,3.583,0.0,eastmoney
2022-11-30,1.024,3.585,0.2,eastmoney
2022-12-01,1.029,3.59,0.49,eastmoney
2022-12-02,1.026,3.587,-0.29,eastmoney
2022-12-05,1.019,3.58,-0.68,eastmoney
2022-12-06,1.019,3.58,0.0,eastmoney
2022-12-07,1.016,3.577,-0.29,eastmoney
2022-12-08,1.012,3.573,-0.39,eastmoney
2022-12-09,1.015,3.576,0.3,eastmoney
2022-12-12,1.018,3.579,0.3,eastmoney
2022-12-13,1.006,3.567,-1.18,eastmoney
2022-12-14,1.0,3.561,-0.6,eastmoney
2022-12-15,1.0,3.561,0.0,eastmoney
2022-12-16,0.99,3.551,-1.0,eastmoney
2022-12-19,0.981,3.542,-0.91,eastmoney
2022-12-20,0.979,3.54,-0.2,eastmoney
2022-12-21,0.97,3.531,-0.92,eastmoney
2022-12-22,0.963,3.524,-0.72,eastmoney
2022-12-23,0.956,3.517,-0.73,eastmoney
2022-12-26,0.978,3.539,2.3,eastmoney
2022-12-27,0.993,3.554,1.53,eastmoney
2022-12-28,0.989,3.55,-0.4,eastmoney
2022-12-29,1.0,3.561,1.11,eastmoney
2022-12-30,1.003,3.564,0.3,eastmoney
2022-12-31,1.003,3.564,0.0,eastmoney
2023-01-03,1.016,3.577,1.3,eastmoney
2023-01-04,1.011,3.572,-0.49,eastmoney
2023-01-05,1.022,3.583,1.09,eastmoney
2023-01-06,1.02,3.581,-0.2,eastmoney
2023-01-09,1.008,3.569,-1.18,eastmoney
2023-01-10,1.008,3.569,0.0,eastmoney
2023-01-11,0.997,3.558,-1.09,eastmoney
2023-01-12,0.997,3.56,0.18,eastmoney
2023-01-13,0.988,3.551,-0.9,eastmoney
2023-01-16,1.003,3.566,1.52,eastmoney
2023-01-17,1.007,3.57,0.4,eastmoney
2023-01-18,1.003,3.566,-0.4,eastmoney
2023-01-19,1.016,3.579,1.3,eastmoney
2023-01-20,1.016,3.579,0.0,eastmoney
2023-01-30,1.031,3.594,1.48,eastmoney
2023-01-31,1.024,3.587,-0.68,eastmoney
2023-02-01,1.031,3.594,0.68,eastmoney
2023-02-02,1.024,3.587,-0.68,eastmoney
2023-02-03,1.024,3.587,0.0,eastmoney
2023-02-06,1.018,3.581,-0.59,eastmoney
2023-02-07,1.012,3.575,-0.59,eastmoney
2023-02-08,1.0,3.563,-1.19,eastmoney
2023-02-09,1.013,3.576,1.3,eastmoney
2023-02-10,1.003,3.566,-0.99,eastmoney
2023-02-13,1.006,3.569,0.3,eastmoney
2023-02-14,1.002,3.565,-0.4,eastmoney
2023-02-15,0.997,3.56,-0.5,eastmoney
2023-02-16,0.989,3.552,-0.8,eastmoney
2023-02-17,0.98,3.543,-0.91,eastmoney
2023-02-20,0.985,3.548,0.51,eastmoney
2023-02-21,0.986,3.549,0.1,eastmoney
2023-02-22,0.985,3.548,-0.1,eastmoney
2023-02-23,0.99,3.553,0.51,eastmoney
2023-02-24,0.994,3.557,0.4,eastmoney
2023-02-27,0.995,3.558,0.1,eastmoney
2023-02-28,0.996,3.559,0.1,eastmoney
2023-03-01,0.997,3.56,0.1,eastmoney
2023-03-02,0.996,3.559,-0.1,eastmoney
2023-03-03,0.996,3.559,0.0,eastmoney
2023-03-06,1.008,3.571,1.2,eastmoney
2023-03-07,0.992,3.555,-1.59,eastmoney
2023-03-08,0.994,3.557,0.2,eastmoney
2023-03-09,0.985,3.548,-0.91,eastmoney
2023-03-10,0.973,3.536,-1.22,eastmoney
2023-03-13,0.972,3.535,-0.1,eastmoney
2023-03-14,0.963,3.526,-0.93,eastmoney
2023-03-15,0.955,3.518,-0.83,eastmoney
2023-03-16,0.946,3.509,-0.94,eastmoney
2023-03-17,0.934,3.497,-1.27,eastmoney
2023-03-20,0.931,3.494,-0.32,eastmoney
2023-03-21,0.947,3.51,1.72,eastmoney
2023-03-22,0.944,3.507,-0.32,eastmoney
2023-03-23,0.942,3.505,-0.21,eastmoney
2023-03-24,0.939,3.502,-0.32,eastmoney
2023-03-27,0.934,3.497,-0.53,eastmoney
2023-03-28,0.927,3.49,-0.75,eastmoney
2023-03-29,0.924,3.487,-0.32,eastmoney
2023-03-30,0.933,3.496,0.97,eastmoney
2023-03-31,0.934,3.497,0.11,eastmoney
2023-04-03,0.941,3.504,0.75,eastmoney
2023-04-04,0.933,3.496,-0.85,eastmoney
2023-04-06,0.942,3.505,0.96,eastmoney
2023-04-07,0.952,3.515,1.06,eastmoney
2023-04-10,0.948,3.511,-0.42,eastmoney
2023-04-11,0.942,3.505,-0.63,eastmoney
2023-04-12,0.937,3.5,-0.53,eastmoney
2023-04-13,0.936,3.499,-0.11,eastmoney
2023-04-14,0.945,3.508,0.96,eastmoney
2023-04-17,0.944,3.507,-0.11,eastmoney
2023-04-18,0.942,3.505,-0.21,eastmoney
2023-04-19,0.943,3.506,0.11,eastmoney
2023-04-20,0.941,3.504,-0.21,eastmoney
2023-04-21,0.933,3.496,-0.85,eastmoney
2023-04-24,0.928,3.491,-0.54,eastmoney
2023-04-25,0.914,3.477,-1.51,eastmoney
2023-04-26,0.922,3.485,0.88,eastmoney
2023-04-27,0.937,3.5,1.63,eastmoney
2023-04-28,0.935,3.498,-0.21,eastmoney
2023-05-04,0.931,3.494,-0.43,eastmoney
2023-05-05,0.921,3.484,-1.07,eastmoney
2023-05-08,0.922,3.485,0.11,eastmoney
2023-05-09,0.908,3.471,-1.52,eastmoney
2023-05-10,0.906,3.469,-0.22,eastmoney
2023-05-11,0.905,3.468,-0.11,eastmoney
2023-05-12,0.898,3.461,-0.77,eastmoney
2023-05-15,0.913,3.476,1.67,eastmoney
2023-05-16,0.911,3.474,-0.22,eastmoney
2023-05-17,0.918,3.481,0.77,eastmoney
2023-05-18,0.917,3.48,-0.11,eastmoney
2023-05-19,0.925,3.488,0.87,eastmoney
2023-05-22,0.927,3.49,0.22,eastmoney
2023-05-23,0.921,3.484,-0.65,eastmoney
2023-05-24,0.921,3.484,0.0,eastmoney
2023-05-25,0.922,3.485,0.11,eastmoney
2023-05-26,0.919,3.482,-0.33,eastmoney
2023-05-29,0.922,3.485,0.33,eastmoney
2023-05-30,0.92,3.483,-0.22,eastmoney
2023-05-31,0.917,3.48,-0.33,eastmoney
2023-06-01,0.914,3.477,-0.33,eastmoney
2023-06-02,0.914,3.477,0.0,eastmoney
2023-06-05,0.906,3.469,-0.88,eastmoney
2023-06-06,0.894,3.457,-1.32,eastmoney
2023-06-07,0.887,3.45,-0.78,eastmoney
2023-06-08,0.886,3.449,-0.11,eastmoney
2023-06-09,0.889,3.452,0.34,eastmoney
2023-06-12,0.888,3.451,-0.11,eastmoney
2023-06-13,0.89,3.453,0.23,eastmoney
2023-06-14,0.89,3.453,0.0,eastmoney
2023-06-15,0.905,3.468,1.69,eastmoney
2023-06-16,0.913,3.476,0.88,eastmoney
2023-06-19,0.913,3.476,0.0,eastmoney
2023-06-20,0.928,3.491,1.64,eastmoney
2023-06-21,0.916,3.479,-1.29,eastmoney
2023-06-26,0.904,3.467,-1.31,eastmoney
2023-06-27,0.911,3.474,0.77,eastmoney
2023-06-28,0.917,3.48,0.66,eastmoney
2023-06-29,0.923,3.486,0.65,eastmoney
2023-06-30,0.938,3.501,1.63,eastmoney
2023-07-03,0.939,3.502,0.11,eastmoney
2023-07-04,0.943,3.506,0.43,eastmoney
2023-07-05,0.932,3.495,-1.17,eastmoney
2023-07-06,0.923,3.486,-0.97,eastmoney
2023-07-07,0.917,3.48,-0.65,eastmoney
2023-07-10,0.919,3.482,0.22,eastmoney
2023-07-11,0.925,3.488,0.65,eastmoney
2023-07-12,0.914,3.477,-1.19,eastmoney
2023-07-13,0.917,3.48,0.33,eastmoney
2023-07-14,0.909,3.472,-0.87,eastmoney
2023-07-17,0.907,3.47,-0.22,eastmoney
2023-07-18,0.913,3.476,0.66,eastmoney
2023-07-19,0.904,3.467,-0.99,eastmoney
2023-07-20,0.896,3.459,-0.88,eastmoney
2023-07-21,0.896,3.459,0.0,eastmoney
2023-07-24,0.894,3.457,-0.22,eastmoney
2023-07-25,0.903,3.466,1.01,eastmoney
2023-07-26,0.901,3.464,-0.22,eastmoney
2023-07-27,0.891,3.454,-1.11,eastmoney
2023-07-28,0.895,3.458,0.45,eastmoney
2023-07-31,0.892,3.455,-0.34,eastmoney
2023-08-01,0.898,3.461,0.67,eastmoney
2023-08-02,0.898,3.461,0.0,eastmoney
2023-08-03,0.895,3.458,-0.33,eastmoney
2023-08-04,0.897,3.46,0.22,eastmoney
2023-08-07,0.895,3.458,-0.22,eastmoney
2023-08-08,0.898,3.461,0.34,eastmoney
2023-08-09,0.9,3.463,0.22,eastmoney
2023-08-10,0.895,3.458,-0.56,eastmoney
2023-08-11,0.889,3.452,-0.67,eastmoney
2023-08-14,0.891,3.454,0.22,eastmoney
2023-08-15,0.887,3.45,-0.45,eastmoney
2023-08-16,0.879,3.442,-0.9,eastmoney
2023-08-17,0.895,3.458,1.82,eastmoney
