date,nav,source,daily_growth_pct,acc_nav
2019-08-02,1.4868,akshare_fund_open_fund_info_em,-0.6548,1.5368
2019-08-05,1.4759,akshare_fund_open_fund_info_em,-0.7331,1.5259
2019-08-06,1.4629,akshare_fund_open_fund_info_em,-0.8808,1.5129
2019-08-07,1.4675,akshare_fund_open_fund_info_em,0.3144,1.5175
2019-08-08,1.4865,akshare_fund_open_fund_info_em,1.2947,1.5365
2019-08-09,1.4776,akshare_fund_open_fund_info_em,-0.5987,1.5276
2019-08-12,1.49,akshare_fund_open_fund_info_em,0.8392,1.54
2019-08-13,1.4921,akshare_fund_open_fund_info_em,0.1409,1.5421
2019-08-14,1.4952,akshare_fund_open_fund_info_em,0.2078,1.5452
2019-08-15,1.5015,akshare_fund_open_fund_info_em,0.4213,1.5515
2019-08-16,1.5116,akshare_fund_open_fund_info_em,0.6727,1.5616
2019-08-19,1.533,akshare_fund_open_fund_info_em,1.4157,1.583
2019-08-20,1.5357,akshare_fund_open_fund_info_em,0.1761,1.5857
2019-08-21,1.5281,akshare_fund_open_fund_info_em,-0.4949,1.5781
2019-08-22,1.534,akshare_fund_open_fund_info_em,0.3861,1.584
2019-08-23,1.536,akshare_fund_open_fund_info_em,0.1304,1.586
2019-08-26,1.5407,akshare_fund_open_fund_info_em,0.306,1.5907
2019-08-27,1.5707,akshare_fund_open_fund_info_em,1.9472,1.6207
2019-08-28,1.5708,akshare_fund_open_fund_info_em,0.0064,1.6208
2019-08-29,1.5748,akshare_fund_open_fund_info_em,0.2546,1.6248
2019-08-30,1.5637,akshare_fund_open_fund_info_em,-0.7049,1.6137
2019-09-02,1.5868,akshare_fund_open_fund_info_em,1.4773,1.6368
2019-09-03,1.5888,akshare_fund_open_fund_info_em,0.126,1.6388
2019-09-04,1.5906,akshare_fund_open_fund_info_em,0.1133,1.6406
2019-09-05,1.5938,akshare_fund_open_fund_info_em,0.2012,1.6438
2019-09-06,1.581,akshare_fund_open_fund_info_em,-0.8031,1.631
2019-09-09,1.5868,akshare_fund_open_fund_info_em,0.3669,1.6368
2019-09-10,1.5846,akshare_fund_open_fund_info_em,-0.1386,1.6346
2019-09-11,1.5674,akshare_fund_open_fund_info_em,-1.0854,1.6174
2019-09-12,1.5711,akshare_fund_open_fund_info_em,0.2361,1.6211
2019-09-16,1.5704,akshare_fund_open_fund_info_em,-0.0446,1.6204
2019-09-17,1.5555,akshare_fund_open_fund_info_em,-0.9488,1.6055
2019-09-18,1.5621,akshare_fund_open_fund_info_em,0.4243,1.6121
2019-09-19,1.5738,akshare_fund_open_fund_info_em,0.749,1.6238
2019-09-20,1.5795,akshare_fund_open_fund_info_em,0.3622,1.6295
2019-09-23,1.5658,akshare_fund_open_fund_info_em,-0.8674,1.6158
